results_type,environment,inter_site_distance_m,site_area_km2,sites_per_km2,frequency_GHz,bandwidth_MHz,number_of_sectors,generation,ant_type,transmission_type,path_loss_dB,received_power_dBm,interference_dBm,sinr_dB,spectral_efficiency_bps_hz,capacity_mbps,capacity_mbps_km2
10_percentile,urban,15200,200.0865092903567,0.004997838202818783,0.8,10,3,4G,macro,1x1,144.0,-106.0,-106.25606058285881,-3.768999999999999,0.0,0.0,0.0
10_percentile,urban,15200,200.0865092903567,0.004997838202818783,2.6,10,3,4G,macro,1x1,154.0,-115.0,-116.29281472551916,-12.52,0.0,0.0,0.0
10_percentile,urban,15200,200.0865092903567,0.004997838202818783,3.5,50,3,5G,macro,8x8,156.0,-117.0,-119.99978290702776,-21.51,0.0,0.0,0.0
10_percentile,urban,15200,200.0865092903567,0.004997838202818783,3.7,50,3,5G,macro,8x8,157.0,-118.0,-119.29627884007299,-22.51,0.0,0.0,0.0
10_percentile,urban,15200,200.0865092903567,0.004997838202818783,26,500,3,5G,macro,8x8,174.0,-135.0,-136.29281472551918,-49.51,0.0,0.0,0.0
10_percentile,urban,16000,221.70250336881628,0.004510548978043952,0.7,10,3,5G,macro,8x8,143.0,-104.0,-107.29281472551916,-1.52,0.0,0.0,0.0
10_percentile,urban,16000,221.70250336881628,0.004510548978043952,0.8,10,3,4G,macro,1x1,144.0,-106.0,-106.99978290702776,-3.52,0.0,0.0,0.0
10_percentile,urban,16000,221.70250336881628,0.004510548978043952,2.6,10,3,4G,macro,1x1,154.0,-115.0,-117.25606058285881,-12.52,0.0,0.0,0.0
10_percentile,urban,16000,221.70250336881628,0.004510548978043952,3.5,50,3,5G,macro,8x8,157.0,-117.0,-120.99783393824347,-21.51,0.0,0.0,0.0
10_percentile,urban,16000,221.70250336881628,0.004510548978043952,3.7,50,3,5G,macro,8x8,157.0,-118.0,-120.25924267669222,-22.51,0.0,0.0,0.0
10_percentile,urban,16000,221.70250336881628,0.004510548978043952,26,500,3,5G,macro,8x8,174.0,-135.0,-137.25606058285882,-49.51,0.0,0.0,0.0
10_percentile,urban,16800,244.42700996411995,0.004091200887114696,0.7,10,3,5G,macro,8x8,143.0,-104.0,-108.25570701687732,-1.9229999999999998,0.0,0.0,0.0
10_percentile,urban,16800,244.42700996411995,0.004091200887114696,0.8,10,3,4G,macro,1x1,144.0,-106.0,-107.29242982390207,-3.52,0.0,0.0,0.0
